instruction,response,text
Ginn mir d'Haaptuert vun der Gemeng Käerjeng.,Nidderkäerjeng ass den Haaptuert vun der Gemeng Käerjeng.,"The following provides an instruction in form of a question.   Give a response that answers the question accurately.   

###Instruction: Ginn mir d'Haaptuert vun der Gemeng Käerjeng.

###Response: Nidderkäerjeng ass den Haaptuert vun der Gemeng Käerjeng."
Wou läit Nidderkäerjeng?,Nidderkäerjeng läit am Südweste vu Lëtzebuerg.,"The following provides an instruction in form of a question.   Give a response that answers the question accurately.   

###Instruction: Wou läit Nidderkäerjeng?

###Response: Nidderkäerjeng läit am Südweste vu Lëtzebuerg."
Wat ass d'Geschicht vun Nidderkäerjeng?,"D'Geschicht vun der Uertschaft ass enk mat der Geschicht vun der Lëtzebuerger Stolindustrie verwuerzelt. Grad wéi déi aner Gemengen an Uertschaften aus dem Süden huet och Nidderkäerjeng d'Rezessioun am Stolsekteur ze spire kritt, net zulescht wëll vill Awunner op der Schmelz hiert Brout verdéngt hunn.","The following provides an instruction in form of a question.   Give a response that answers the question accurately.   

###Instruction: Wat ass d'Geschicht vun Nidderkäerjeng?

###Response: D'Geschicht vun der Uertschaft ass enk mat der Geschicht vun der Lëtzebuerger Stolindustrie verwuerzelt. Grad wéi déi aner Gemengen an Uertschaften aus dem Süden huet och Nidderkäerjeng d'Rezessioun am Stolsekteur ze spire kritt, net zulescht wëll vill Awunner op der Schmelz hiert Brout verdéngt hunn."
Wat ass den 10. Mee 1940 zu Käerjeng geschitt?,Den 10. Mee 1940 koum et zu Käerjeng zu Reiwereien tëscht der Wehrmacht a franséischen Truppen. Dobäi hunn néng Spahisen aus dem Generol P. Jouffrault senger 1. Spahis-Brigade hiert d'Liewe gelooss.,"The following provides an instruction in form of a question.   Give a response that answers the question accurately.   

###Instruction: Wat ass den 10. Mee 1940 zu Käerjeng geschitt?

###Response: Den 10. Mee 1940 koum et zu Käerjeng zu Reiwereien tëscht der Wehrmacht a franséischen Truppen. Dobäi hunn néng Spahisen aus dem Generol P. Jouffrault senger 1. Spahis-Brigade hiert d'Liewe gelooss."
Wat ass den 9. August 2019 zu Nidderkäerjeng geschitt?,"Den 9. August 2019 ass en Tornado duerch Nidderkäerjeng gezunn, dee vill Schued ugeriicht huet.","The following provides an instruction in form of a question.   Give a response that answers the question accurately.   

###Instruction: Wat ass den 9. August 2019 zu Nidderkäerjeng geschitt?

###Response: Den 9. August 2019 ass en Tornado duerch Nidderkäerjeng gezunn, dee vill Schued ugeriicht huet."
Gitt mir den Titel vum Documentaire vun der Anne Schroeder aus dem Joer 2001.,Histoire(s) de jeunesse(s),"The following provides an instruction in form of a question.   Give a response that answers the question accurately.   

###Instruction: Gitt mir den Titel vum Documentaire vun der Anne Schroeder aus dem Joer 2001.

###Response: Histoire(s) de jeunesse(s)"
Wann hat den Documentaire 'Histoire(s) de jeunesse(s)' seng Première gehat?,Den 23. Abrëll 2001 am Kino Utopia.,"The following provides an instruction in form of a question.   Give a response that answers the question accurately.   

###Instruction: Wann hat den Documentaire 'Histoire(s) de jeunesse(s)' seng Première gehat?

###Response: Den 23. Abrëll 2001 am Kino Utopia."
Wat ass den Haaptthema vum Documentaire 'Histoire(s) de jeunesse(s)'?,"De Film erzielt, wat et bedeit, e Kand oder e Jugendlechen zu Lëtzebuerg ze sinn, vun den 1920er Joren un bis Ufanks vum 21. Joerhonnert.","The following provides an instruction in form of a question.   Give a response that answers the question accurately.   

###Instruction: Wat ass den Haaptthema vum Documentaire 'Histoire(s) de jeunesse(s)'?

###Response: De Film erzielt, wat et bedeit, e Kand oder e Jugendlechen zu Lëtzebuerg ze sinn, vun den 1920er Joren un bis Ufanks vum 21. Joerhonnert."
Wie vill finanziell Hëllef krut d'Produktiounsgesellschaft Samsa Film fir d'Produktioun vum Documentaire 'Histoire(s) de jeunesse(s)'?,"1998 krut Samsa Film e Subside vum Lëtzebuerger Filmfong an Héicht vun 1,86 Millioune Lëtzebuerger Frang, an 2000 ass dunn nach eng weider finanziell Hëllef vu fënnef Millioune Frang dobäikomm.","The following provides an instruction in form of a question.   Give a response that answers the question accurately.   

###Instruction: Wie vill finanziell Hëllef krut d'Produktiounsgesellschaft Samsa Film fir d'Produktioun vum Documentaire 'Histoire(s) de jeunesse(s)'?

###Response: 1998 krut Samsa Film e Subside vum Lëtzebuerger Filmfong an Héicht vun 1,86 Millioune Lëtzebuerger Frang, an 2000 ass dunn nach eng weider finanziell Hëllef vu fënnef Millioune Frang dobäikomm."
Wat sot d'Josée Hansen iwwer den Documentaire 'Histoire(s) de jeunesse(s)'?,"Le grand mérite de ce film est d'avoir commencé ces recherches, sa réussite de les faire oublier. À la fin, il reste une impression de quelque chose d'assez ludique, malgré les quelques chapitres plus graves dans le film.","The following provides an instruction in form of a question.   Give a response that answers the question accurately.   

###Instruction: Wat sot d'Josée Hansen iwwer den Documentaire 'Histoire(s) de jeunesse(s)'?

###Response: Le grand mérite de ce film est d'avoir commencé ces recherches, sa réussite de les faire oublier. À la fin, il reste une impression de quelque chose d'assez ludique, malgré les quelques chapitres plus graves dans le film."
Beschreiwung vum Stärebild Triangulum (Dräieck).,"Den Dräieck ass en onschäinbaart Stärebild, dat sech aus dräi Stären zesummesetzt. Nëmmen ee Stär erreecht déi 3. Gréissteklass.","The following provides an instruction in form of a question.   Give a response that answers the question accurately.   

###Instruction: Beschreiwung vum Stärebild Triangulum (Dräieck).

###Response: Den Dräieck ass en onschäinbaart Stärebild, dat sech aus dräi Stären zesummesetzt. Nëmmen ee Stär erreecht déi 3. Gréissteklass."
Wou läit den Triangulum?,Den Triangulum läit tëscht der Andromeda an dem Aries (Widder).,"The following provides an instruction in form of a question.   Give a response that answers the question accurately.   

###Instruction: Wou läit den Triangulum?

###Response: Den Triangulum läit tëscht der Andromeda an dem Aries (Widder)."
Wat ass de hellste Stär am Triangulum?,"De β Trianguli, den hellste Stär am Triangulum, ass en Duebelstär op enger Distanz vun 124 Liichtjoer.","The following provides an instruction in form of a question.   Give a response that answers the question accurately.   

###Instruction: Wat ass de hellste Stär am Triangulum?

###Response: De β Trianguli, den hellste Stär am Triangulum, ass en Duebelstär op enger Distanz vun 124 Liichtjoer."
Wat ass den Dräieckniwwel (M33)?,"Den Dräieckniwwel (M33) ass eng Galaxie, déi ronn 2,3 Millioune Liichtjoer vun eis ewech läit an no dem Andromedaniwwel déi zweetnoost grouss Galaxie ass.","The following provides an instruction in form of a question.   Give a response that answers the question accurately.   

###Instruction: Wat ass den Dräieckniwwel (M33)?

###Response: Den Dräieckniwwel (M33) ass eng Galaxie, déi ronn 2,3 Millioune Liichtjoer vun eis ewech läit an no dem Andromedaniwwel déi zweetnoost grouss Galaxie ass."
Wann gouf den Dräiecksniwwel entdeckt?,Den Dräiecksniwwel gouf am Joer 1764 vum franséischen Astronom Charles Messier entdeckt.,"The following provides an instruction in form of a question.   Give a response that answers the question accurately.   

###Instruction: Wann gouf den Dräiecksniwwel entdeckt?

###Response: Den Dräiecksniwwel gouf am Joer 1764 vum franséischen Astronom Charles Messier entdeckt."
Ginn mir d'Geschicht vum UN Käerjeng 97.,"De Veräin ass 1997 aus der Fusioun vun de Clibb aus der Käerjenger Gemeng, dem FC Jeunesse Uewerkäerjeng (""FC Jeunesse Hautcharage"") an der US Nidderkäerjeng (""US Bascharage"") entstanen.","The following provides an instruction in form of a question.   Give a response that answers the question accurately.   

###Instruction: Ginn mir d'Geschicht vum UN Käerjeng 97.

###Response: De Veräin ass 1997 aus der Fusioun vun de Clibb aus der Käerjenger Gemeng, dem FC Jeunesse Uewerkäerjeng (""FC Jeunesse Hautcharage"") an der US Nidderkäerjeng (""US Bascharage"") entstanen."
Wat ass de gréissten nationale Succès an der Veräinsgeschicht vum UN Käerjeng 97?,"De gréissten nationale Succès an der Veräinsgeschicht war d'Erreeche vun der Coupefinale 2006/07, déi awer mat 1-2 géint den F91 verluer goung.","The following provides an instruction in form of a question.   Give a response that answers the question accurately.   

###Instruction: Wat ass de gréissten nationale Succès an der Veräinsgeschicht vum UN Käerjeng 97?

###Response: De gréissten nationale Succès an der Veräinsgeschicht war d'Erreeche vun der Coupefinale 2006/07, déi awer mat 1-2 géint den F91 verluer goung."
Wou spillt den UN Käerjeng 97 seng Championnatsmatcher?,"Bis Mëtt 2011 huet den UN Käerjéng 97 seng Championnatsmatcher um Terrain ""um Bëchel"" zu Uewerkäerjeng gespillt. Zanter der Saison 2011/12 gëtt um nei gebaute ""Käerjenger Dribbel"" zu Nidderkäerjeng gespillt.","The following provides an instruction in form of a question.   Give a response that answers the question accurately.   

###Instruction: Wou spillt den UN Käerjeng 97 seng Championnatsmatcher?

###Response: Bis Mëtt 2011 huet den UN Käerjéng 97 seng Championnatsmatcher um Terrain ""um Bëchel"" zu Uewerkäerjeng gespillt. Zanter der Saison 2011/12 gëtt um nei gebaute ""Käerjenger Dribbel"" zu Nidderkäerjeng gespillt."
Wat ass de nationale Palmarès vum UN Käerjeng 97?,"Den UN Käerjeng 97 huet nach keen nationale Titel gewonnen, mä huet 2006/07 d'Coupefinale erreecht.","The following provides an instruction in form of a question.   Give a response that answers the question accurately.   

###Instruction: Wat ass de nationale Palmarès vum UN Käerjeng 97?

###Response: Den UN Käerjeng 97 huet nach keen nationale Titel gewonnen, mä huet 2006/07 d'Coupefinale erreecht."
Wann huet den UN Käerjeng 97 fir d'éischt an enger europäescher Kompetitioun gespillt?,"Den UN Käerjeng 97 huet fir d'éischt an enger europäescher Kompetitioun gespillt, wéi hien 2007/08 an der éischter Qualifikatiounsronn vum UEFA Cup gespillt huet.","The following provides an instruction in form of a question.   Give a response that answers the question accurately.   

###Instruction: Wann huet den UN Käerjeng 97 fir d'éischt an enger europäescher Kompetitioun gespillt?

###Response: Den UN Käerjeng 97 huet fir d'éischt an enger europäescher Kompetitioun gespillt, wéi hien 2007/08 an der éischter Qualifikatiounsronn vum UEFA Cup gespillt huet."
Ginn mir d'Nimm vun de fréiere Gemenge déi 1977 fusionéiert hunn fir d'Gemeng Gouvy ze bilden.,"D'fréier Gemenge Beho, Bovigny, Cherain, Limerlé a Montleban hunn 1977 fusionéiert fir d'Gemeng Gouvy ze bilden.","The following provides an instruction in form of a question.   Give a response that answers the question accurately.   

###Instruction: Ginn mir d'Nimm vun de fréiere Gemenge déi 1977 fusionéiert hunn fir d'Gemeng Gouvy ze bilden.

###Response: D'fréier Gemenge Beho, Bovigny, Cherain, Limerlé a Montleban hunn 1977 fusionéiert fir d'Gemeng Gouvy ze bilden."
Wann a wou gëtt de Gouvy Jazz & Blues Festival organiséiert?,De Gouvy Jazz & Blues Festival gëtt zanter 1979 den éischte Weekend am August op der Ferme Madelonne zu Sterpigny bei Gouvy organiséiert.,"The following provides an instruction in form of a question.   Give a response that answers the question accurately.   

###Instruction: Wann a wou gëtt de Gouvy Jazz & Blues Festival organiséiert?

###Response: De Gouvy Jazz & Blues Festival gëtt zanter 1979 den éischte Weekend am August op der Ferme Madelonne zu Sterpigny bei Gouvy organiséiert."
Ginn mir d'Detailer iwwer d'Verbindung vu Gouvy mat der Bahn.,Gouvy huet eng Schnellzuchhalt op der Verbindung Lëtzebuerg-Léck an ass een Terminus vum InterCity O.,"The following provides an instruction in form of a question.   Give a response that answers the question accurately.   

###Instruction: Ginn mir d'Detailer iwwer d'Verbindung vu Gouvy mat der Bahn.

###Response: Gouvy huet eng Schnellzuchhalt op der Verbindung Lëtzebuerg-Léck an ass een Terminus vum InterCity O."
Wat ass d'Beschreiwung vum Wope vun der Gemeng Gouvy?,"De Wope gouf duerch Decisioun vum Gemengerot de 15. Juli 1977 ugeholl an duerch en Arrêté vum 12. Februar 1980 autoriséiert. Ecartelé aux 1 et 4 parti à dextre de gueules à un bélier passant d'argent (qui est de Zaluski), à senestre d'argent à trois fleurs de lis de sable au pied posé (qui est de Rivière d'Arschot) ; aux 2 et 3 d'argent à cinq fasces de gueules, au lion brochant d'or armé et lampassé de gueules (qui est de Hayne).","The following provides an instruction in form of a question.   Give a response that answers the question accurately.   

###Instruction: Wat ass d'Beschreiwung vum Wope vun der Gemeng Gouvy?

###Response: De Wope gouf duerch Decisioun vum Gemengerot de 15. Juli 1977 ugeholl an duerch en Arrêté vum 12. Februar 1980 autoriséiert. Ecartelé aux 1 et 4 parti à dextre de gueules à un bélier passant d'argent (qui est de Zaluski), à senestre d'argent à trois fleurs de lis de sable au pied posé (qui est de Rivière d'Arschot) ; aux 2 et 3 d'argent à cinq fasces de gueules, au lion brochant d'or armé et lampassé de gueules (qui est de Hayne)."
Wat ass geschitt den 8. September 1944 an der direkter Ëmgéigend vu Gouvy?,"Den 8. September 1944 goufen déi zwou éischt V2, an Direktioun Paräis ofgeschoss wouvun déi eng zu Maisons-Alfort ageschloe war an déi aner ënnerwee verluer goung.","The following provides an instruction in form of a question.   Give a response that answers the question accurately.   

###Instruction: Wat ass geschitt den 8. September 1944 an der direkter Ëmgéigend vu Gouvy?

###Response: Den 8. September 1944 goufen déi zwou éischt V2, an Direktioun Paräis ofgeschoss wouvun déi eng zu Maisons-Alfort ageschloe war an déi aner ënnerwee verluer goung."
Ginn d'Geschicht vum Schlass Bierg.,"Déi éischt Kéier, wou vun engem Här vu 'Berghe' rieds goung, war 1311. D'Schlass Bierg huet an de Joerhonnerten duerno ëmmer nees de Proprietär gewiesselt. 1845 huet de Barong du Pasquier et dem Kinnek-Groussherzog Wëllem II. zesumme mat der Colmer Schmelz verkaaft. 1848 huet d'Lëtzebuerger Constitutioun d'Schlass Bierg als Residenz vum Groussherzog vu Lëtzebuerg festgeluecht.","The following provides an instruction in form of a question.   Give a response that answers the question accurately.   

###Instruction: Ginn d'Geschicht vum Schlass Bierg.

###Response: Déi éischt Kéier, wou vun engem Här vu 'Berghe' rieds goung, war 1311. D'Schlass Bierg huet an de Joerhonnerten duerno ëmmer nees de Proprietär gewiesselt. 1845 huet de Barong du Pasquier et dem Kinnek-Groussherzog Wëllem II. zesumme mat der Colmer Schmelz verkaaft. 1848 huet d'Lëtzebuerger Constitutioun d'Schlass Bierg als Residenz vum Groussherzog vu Lëtzebuerg festgeluecht."
Wéini gouf d'Schlass Bierg vum Lëtzebuerger Staat opkaaft?,1934 huet de Lëtzebuerger Staat d'Schlass Bierg vum groussherzoglechen Haff ofkaaft a stellt et zanterhier dem Groussherzog als Residenz zur Verfügung.,"The following provides an instruction in form of a question.   Give a response that answers the question accurately.   

###Instruction: Wéini gouf d'Schlass Bierg vum Lëtzebuerger Staat opkaaft?

###Response: 1934 huet de Lëtzebuerger Staat d'Schlass Bierg vum groussherzoglechen Haff ofkaaft a stellt et zanterhier dem Groussherzog als Residenz zur Verfügung."
Wat ass d'Zweck vum geplangte Gebai um Terrain vum Schlass Bierg?,Den Ierfgroussherzog Guillaume plangt fir um Terrain vum Schlass eng Dependance fir seng Famill bauen ze loossen an esou de Liewensstil vu senger Famill méi zäitgeméiss a familljefrëndlech ze halen.,"The following provides an instruction in form of a question.   Give a response that answers the question accurately.   

###Instruction: Wat ass d'Zweck vum geplangte Gebai um Terrain vum Schlass Bierg?

###Response: Den Ierfgroussherzog Guillaume plangt fir um Terrain vum Schlass eng Dependance fir seng Famill bauen ze loossen an esou de Liewensstil vu senger Famill méi zäitgeméiss a familljefrëndlech ze halen."
Ass d'Schlass Bierg fir de Public accessibel?,"Nee, d'Schlass Bierg ass net fir de Public accessibel. Et kéint eventuell zu bestëmmten Zäite fir Visitten accessibel gemaach ginn.","The following provides an instruction in form of a question.   Give a response that answers the question accurately.   

###Instruction: Ass d'Schlass Bierg fir de Public accessibel?

###Response: Nee, d'Schlass Bierg ass net fir de Public accessibel. Et kéint eventuell zu bestëmmten Zäite fir Visitten accessibel gemaach ginn."
Wat ass d'Lëtzebuerger Haffbibliothéik?,D'Lëtzebuerger Haffbibliothéik ass eng Bibliothéik déi aus enger 30.000 Bicher besteet a sech am Schlass Bierg befindet.,"The following provides an instruction in form of a question.   Give a response that answers the question accurately.   

###Instruction: Wat ass d'Lëtzebuerger Haffbibliothéik?

###Response: D'Lëtzebuerger Haffbibliothéik ass eng Bibliothéik déi aus enger 30.000 Bicher besteet a sech am Schlass Bierg befindet."
Wat ass den Autofestival a wéi laang gëtt et scho organiséiert?,"Den Autofestival ass en alljärlecht Evenement dat vun de Lëtzebuerger Garagisten organiséiert gëtt, zanter 1965.","The following provides an instruction in form of a question.   Give a response that answers the question accurately.   

###Instruction: Wat ass den Autofestival a wéi laang gëtt et scho organiséiert?

###Response: Den Autofestival ass en alljärlecht Evenement dat vun de Lëtzebuerger Garagisten organiséiert gëtt, zanter 1965."
Wéini ass den Autofestival normalerweis?,"Den Autofestival ass normalerweis Enn Januar uganks Februar, iwwer zwéi Weekenter.","The following provides an instruction in form of a question.   Give a response that answers the question accurately.   

###Instruction: Wéini ass den Autofestival normalerweis?

###Response: Den Autofestival ass normalerweis Enn Januar uganks Februar, iwwer zwéi Weekenter."
Wat sinn d'Ziler vum Autofestival?,"Den Autofestival huet als Zil, dem interesséierte Public d'Méiglechkeet ze ginn, sech nei Developpementer an Autosmodeller unzekucken, an och fir d'Garagë fir speziell Zäiten op hunn.","The following provides an instruction in form of a question.   Give a response that answers the question accurately.   

###Instruction: Wat sinn d'Ziler vum Autofestival?

###Response: Den Autofestival huet als Zil, dem interesséierte Public d'Méiglechkeet ze ginn, sech nei Developpementer an Autosmodeller unzekucken, an och fir d'Garagë fir speziell Zäiten op hunn."
Wat ass de wirtschaftlechen Impakt vum Autofestival?,"Wéinst der staarker Thematiséierung an der Lëtzebuerger Press an an der Gesellschaft am Allgemengen, maachen d'Garagisten ee wichtegen Deel vun hirem Ëmsaz an der Period vum Autofestival, ronn een Drëttel vun de Verträg vun engem Joer.","The following provides an instruction in form of a question.   Give a response that answers the question accurately.   

###Instruction: Wat ass de wirtschaftlechen Impakt vum Autofestival?

###Response: Wéinst der staarker Thematiséierung an der Lëtzebuerger Press an an der Gesellschaft am Allgemengen, maachen d'Garagisten ee wichtegen Deel vun hirem Ëmsaz an der Period vum Autofestival, ronn een Drëttel vun de Verträg vun engem Joer."
Kommen och Leit aus dem Ausland fir den Autofestival op Lëtzebuerg?,"Jo, de Begrëff ass och an der Groussregioun bekannt, sou datt och d'Leit aus dem Ausland fir den Evenement op Lëtzebuerg kommen.","The following provides an instruction in form of a question.   Give a response that answers the question accurately.   

###Instruction: Kommen och Leit aus dem Ausland fir den Autofestival op Lëtzebuerg?

###Response: Jo, de Begrëff ass och an der Groussregioun bekannt, sou datt och d'Leit aus dem Ausland fir den Evenement op Lëtzebuerg kommen."
Wat ass den Urspronk vun Halloween?,"Den Urspronk vun Halloween ass an engem Karschnatz- an Neijoerschfest vun de Kelten, dem Samhain (""Enn vum Summer"").","The following provides an instruction in form of a question.   Give a response that answers the question accurately.   

###Instruction: Wat ass den Urspronk vun Halloween?

###Response: Den Urspronk vun Halloween ass an engem Karschnatz- an Neijoerschfest vun de Kelten, dem Samhain (""Enn vum Summer"")."
Wéi hu d'heednesch Kelten Halloween gefeiert?,"D'heednesch Kelten hu gemengt, un de Beréierungspunkte vun der Joreszäite wier Kontakt tëscht der Geeschterwelt an de Stierfleche méiglech, an Hexen a béis Geeschter géife versiche fir an de Kierper vun engem Déier oder enger Persoun ze fueren. Dofir huet d'Bevëlkerung freeschlech Kostümer ugedoe a grouss Feiere gemaach fir se ze verdreiwen.","The following provides an instruction in form of a question.   Give a response that answers the question accurately.   

###Instruction: Wéi hu d'heednesch Kelten Halloween gefeiert?

###Response: D'heednesch Kelten hu gemengt, un de Beréierungspunkte vun der Joreszäite wier Kontakt tëscht der Geeschterwelt an de Stierfleche méiglech, an Hexen a béis Geeschter géife versiche fir an de Kierper vun engem Déier oder enger Persoun ze fueren. Dofir huet d'Bevëlkerung freeschlech Kostümer ugedoe a grouss Feiere gemaach fir se ze verdreiwen."
Wann ass Halloween an den USA komm?,"Duerch déi staark iresch Auswanderungen an d'USA ass Halloween och dohi komm, wou et och säin aktuellen Numm krut, als Verkierzung vun ""All Hallow's Eve"" (""Virowend vun Allerhellegen"").","The following provides an instruction in form of a question.   Give a response that answers the question accurately.   

###Instruction: Wann ass Halloween an den USA komm?

###Response: Duerch déi staark iresch Auswanderungen an d'USA ass Halloween och dohi komm, wou et och säin aktuellen Numm krut, als Verkierzung vun ""All Hallow's Eve"" (""Virowend vun Allerhellegen"")."
"Wat ass de Brauch vun ""Trick or Treat""?","Déi US-amerikanesch Kanner spillen deen Owend ""Trick or Treat"" (""Spiicht oder Kaddo""): als Gespenster an Hexe verkleet gi se vun Haus zu Haus a fuerdere Suen a Séissegkeeten, soss dreeë se domat fir de Leit aus dem Haus eng ze stiichten.","The following provides an instruction in form of a question.   Give a response that answers the question accurately.   

###Instruction: Wat ass de Brauch vun ""Trick or Treat""?

###Response: Déi US-amerikanesch Kanner spillen deen Owend ""Trick or Treat"" (""Spiicht oder Kaddo""): als Gespenster an Hexe verkleet gi se vun Haus zu Haus a fuerdere Suen a Séissegkeeten, soss dreeë se domat fir de Leit aus dem Haus eng ze stiichten."
