instruction,response,text
What is the main theme of the documentary 'Histoire(s) de jeunesse(s)'?,"The film tells what it means to be a child or a teenager in Luxembourg, from the 1920s to the beginning of the 21st century.","The following provides an instruction in the form of a question. Give a response that answers the question accurately. 

###Instruction: What is the main theme of the documentary 'Histoire(s) de jeunesse(s)'? 

###Response: The film tells what it means to be a child or a teenager in Luxembourg, from the 1920s to the beginning of the 21st century."
How much financial aid did the production company Samsa Film receive for the production of the documentary 'Histoire(s) de jeunesse(s)'?,"In 1998, Samsa Film received a subsidy from the Luxembourg Film Fund in the amount of 1.86 million Luxembourg francs, and in 2000 another financial aid of five million francs was added.","The following provides an instruction in the form of a question. Give a response that answers the question accurately. 

###Instruction: How much financial aid did the production company Samsa Film receive for the production of the documentary 'Histoire(s) de jeunesse(s)'? 

###Response: In 1998 Samsa Film received a subsidy from the Luxembourg Film Fund in the amount of 1.86 million Luxembourg francs, and in 2000 another financial aid of five million francs was added."
What did José Hansen say about the documentary 'Histoire(s) de jeunesse(s)'?,"The great merit of this film is to have started these researches, to succeed in making them forget. In the end, there is an impression of something rather playful, despite the few more serious chapters in the film.","The following provides an instruction in the form of a question. Give a response that answers the question accurately. 

###Instruction: What did José Hansen say about the documentary 'Histoire(s) de jeunesse(s)'? 

###Response: The great merit of this film is to have started this research, to succeed in making them forget. In the end, there is an impression of something rather playful, despite the few more serious chapters in the film."
Description of the constellation Triangulum (triangle).,The triangle is an invisible constellation made up of three stars. Only one star reaches the 3rd magnitude class.,"The following provides an instruction in the form of a question. Give a response that answers the question accurately. 

###Instruction: Description of the constellation Triangulum (triangle). 

###Response: The triangle is an invisible constellation made up of three stars. Only one star reaches the 3rd magnitude class."
Where is the triangle located?,The Triangulum lies between Andromeda and Aries (Aries).,"The following provides an instruction in the form of a question. Give a response that answers the question accurately. 

###Instruction: Where is the triangle? 

###Response: The Triangulum lies between Andromeda and Aries (Aries)."
What is the brightest star in the triangulum?,"β Trianguli, the brightest star in the Triangulum, is a double star at a distance of 124 light years.","The following provides an instruction in the form of a question. Give a response that answers the question accurately. 

###Instruction: What is the brightest star in the triangle? 

###Response: The β Trianguli, the brightest star in the Triangulum, is a double star at a distance of 124 light years."
What is the Triangle Nebula (M33)?,The Triangular Nebula (M33) is a galaxy about 2.3 million light-years away and is the second closest large galaxy after the Andromeda Nebula.,"The following provides an instruction in the form of a question. Give a response that answers the question accurately. 

###Instruction: What is the Triangle Nebula (M33)? 

###Response: The Triangular Nebula (M33) is a galaxy that is about 2.3 million light years away from us and is the second closest large galaxy after the Andromeda Nebula."
When was the Triangle Nebula discovered?,The Triangle Nebula was discovered in 1764 by the French astronomer Charles Messier.,"The following provides an instruction in the form of a question. Give a response that answers the question accurately. 

###Instruction: When was the Triangle Nebula discovered? 

###Response: The Triangle Nebula was discovered in 1764 by the French astronomer Charles Messier."
Give us the history of UN Kärjeng 97.,"The club was formed in 1997 from the merger of the clubs from the Käerjeng municipality, the FC Jeunesse Uewerkäerjeng (""FC Jeunesse Hautcharage"") and the US Nidderkäerjeng (""US Bascharage"").","The following provides an instruction in the form of a question. Give a response that answers the question accurately. 

###Instruction: Give me the history of UN Käerjeng 97. 

###Response: The club was formed in 1997 from the merger of the club from the Käerjeng municipality, the FC Jeunesse Uewerkäerjeng (""FC Jeunesse Hautcharage"") and the US Nidderkäerjeng (""US Bascharage"") emerged."
What is the biggest national success in the club history of UN Kärjeng 97?,"The biggest national success in the club's history was reaching the cup final in 2006/07, which was lost 1-2 against F91.","The following provides an instruction in the form of a question. Give a response that answers the question accurately. 

###Instruction: What is the biggest national success in the club history of UN Kärjeng 97? 

###Response: The biggest national success in the club's history was reaching the cup final in 2006/07, which was lost 1-2 against F91."
Where does UN Kärjeng 97 play its championship matches?,"Until the middle of 2011, the UN Käerjeng 97 played its championship matches on the field ""um Bæchel"" in Uwerkäerjeng. Since the 2011/12 season, the newly built ""Käärjenger Dribbel"" has been played in Nidderkäerjeng.","The following provides an instruction in the form of a question. Give a response that answers the question accurately. 

###Instruction: Where does UN Kärjeng 97 play its championship matches? 

###Response: Until the middle of 2011, the UN Käärjeng 97 played its championship matches on the field ""um Bæchel"" in Uwerkäärjeng. Since the 2011/12 season, the newly built ""Käärjenger Dribbel"" has been played in Nidderkäerjeng."
What is the national ranking of UN Kärjeng 97?,"UN Käerjeng 97 has not yet won a national title, but reached the cup final in 2006/07.","The following provides an instruction in the form of a question. Give a response that answers the question accurately. 

###Instruction: What is the national ranking of UN Kärjeng 97? 

###Response: UN Käerjeng 97 has not yet won a national title, but reached the cup final in 2006/07."
When did UN Kärjeng 97 first play in a European competition?,The UN Kärjeng 97 first played in a European competition when he played in the first qualifying round of the UEFA Cup in 2007/08.,"The following provides an instruction in the form of a question. Give a response that answers the question accurately. 

###Instruction: When did UN Kärjeng 97 first play in a European competition? 

###Response: The UN Kärjeng 97 first played in a European competition when he played in the first qualifying round of the UEFA Cup in 2007/08."
Give me the names of the former municipalities that merged in 1977 to form the municipality of Gouvy.,"The former municipalities of Beho, Bovigny, Cherain, Limerlé and Montleban merged in 1977 to form the municipality of Gouvy.","The following provides an instruction in the form of a question. Give a response that answers the question accurately. 

###Instruction: Give me the names of the former municipalities that merged in 1977 to form the municipality of Gouvy. 

###Response: The former municipalities of Beho, Bovigny, Cherain, Limerlé and Montleban merged in 1977 to form the municipality of Gouvy."
When and where is the Gouvy Jazz & Blues Festival organized?,The Gouvy Jazz & Blues Festival has been organized since 1979 on the first weekend in August at Ferme Madelonne in Sterpigny near Gouvy.,"The following provides an instruction in the form of a question. Give a response that answers the question accurately. 

###Instruction: When and where is the Gouvy Jazz & Blues Festival organized? 

###Response: The Gouvy Jazz & Blues Festival has been organized since 1979 on the first weekend in August at the Ferme Madelonne in Sterpigny near Gouvy."
Give me the details about the connection of Gouvy with the train.,Gouvy has a fast train stop on the Luxembourg-Liège connection and is a terminus of the InterCity O.,"The following provides an instruction in the form of a question. Give a response that answers the question accurately. 

###Instruction: Give me the details about the connection of Gouvy with the train. 

###Response: Gouvy has a fast train stop on the Luxembourg-Liège connection and is a terminus of the InterCity O."
What is the description of the coat of arms of the municipality of Gouvy?,"The coat of arms was adopted by decision of the municipal council on July 15, 1977 and authorized by a decree of February 12, 1980. Ecartelé aux 1 et 4 parti à dextre de gules à un bilier passant d'argent (qui est de Zaluski), à senestre d'argent à three fleurs de lis de sable au pied posé (qui est de Rivière d'Arschot); aux 2 et 3 d'argent à cinq fasces de gules, au lion brochant d'or armé et lampassé de gules (qui est de Hayne).","The following provides an instruction in the form of a question. Give a response that answers the question accurately. 

###Instruction: What is the description of the coat of arms of the municipality of Gouvy? 

###Response: The coat of arms was adopted by decision of the municipal council on July 15, 1977 and authorized by a decree of February 12, 1980. Ecartelé aux 1 et 4 parti à dextre de gules à un bilier passant d'argent (qui est de Zaluski), à senestre d'argent à three fleurs de lis de sable au pied posé (qui est de Rivière d'Arschot); aux 2 et 3 d'argent à cinq fasces de gules, au lion brochant d'or armé et lampassé de gules (qui est de Hayne)."
"What happened on September 8, 1944 in the immediate vicinity of Gouvy?","On September 8, 1944, the first two V2s were fired in the direction of Paris, one of which was hit in Maisons-Alfort and the other was lost on the way.","The following provides an instruction in the form of a question. Give a response that answers the question accurately. 

###Instruction: What happened on September 8, 1944 in the immediate vicinity of Gouvy? 

###Response: On September 8, 1944, the first two V2s were fired in the direction of Paris, one of which was hit in Maisons-Alfort and the other was lost on the way."
Give the history of the mountain castle.,"The first time a lord of 'Berghe' was mentioned was in 1311. In the centuries that followed, Schlass Bierg changed owners again and again. In 1845, Baron du Pasquier gave it to King-Grand Duke William II. sold together with the Colmer Schmelz. In 1848, the Luxembourg Constitution established Schloss Bierg as the residence of the Grand Duke of Luxembourg.","The following provides an instruction in the form of a question. Give a response that answers the question accurately. 

###Instruction: Give the story of the mountain castle. 

###Response: The first time a lord of 'Berghe' was mentioned was in 1311. In the following centuries, the castle changed owners again and again. In 1845, Baron du Pasquier gave it to King-Grand Duke William II. sold together with the Colmer Schmelz. In 1848, the Luxembourg Constitution established Schloss Bierg as the residence of the Grand Duke of Luxembourg."
When was Schlass Bierg bought by the Luxembourg state?,"In 1934, the Luxembourg state bought Schlass Bierg from the Grand Duke's court and has since then made it available to the Grand Duke as a residence.","The following provides an instruction in the form of a question. Give a response that answers the question accurately. 

###Instruction: When was Schlass Bierg bought by the Luxembourg state? 

###Response: In 1934, the Luxembourg state bought the castle Bierg from the Grand Duke's court and has since then made it available to the Grand Duke as a residence."
What is the purpose of the planned building on the grounds of Castle Mountain?,Hereditary Grand Duke Guillaume plans to build an annex for his family on the grounds of the castle and thus keep his family's lifestyle more modern and family-friendly.,"The following provides an instruction in the form of a question. Give a response that answers the question accurately. 

###Instruction: What is the purpose of the planned building on the grounds of Schlass Bierg? 

###Response: Hereditary Grand Duke Guillaume plans to build an annex for his family on the grounds of the castle and thus keep his family's lifestyle more contemporary and family-friendly."
Is the mountain castle accessible to the public?,"No, the mountain castle is not accessible to the public. It could possibly be made accessible for visits at certain times.","The following provides an instruction in the form of a question. Give a response that answers the question accurately. 

###Instruction: Is the castle mountain accessible to the public? 

###Response: No, the mountain castle is not accessible to the public. It could possibly be made accessible for visits at certain times."
What is the Luxembourg court library?,"The Luxembourg court library is a library that consists of 30,000 books and is located in Schloss Bierg.","The following provides an instruction in the form of a question. Give a response that answers the question accurately. 

###Instruction: What is the Luxembourg court library? 

###Response: The Luxembourg court library is a library that consists of 30,000 books and is located in Schloss Bierg."
What is the car festival and how long has it been organized?,The Autofestival is an annual event organized by Luxembourg garages since 1965.,"The following provides an instruction in the form of a question. Give a response that answers the question accurately. 

###Instruction: What is the car festival and how long has it been organized? 

###Response: The Autofestival is an annual event organized by Luxembourg garages since 1965."
When is the car festival usually?,"The car festival is usually at the end of January and beginning of February, over two weekends.","The following provides an instruction in the form of a question. Give a response that answers the question accurately. 

###Instruction: When is the car festival usually? 

###Response: The car festival is usually at the end of January and beginning of February, over two weekends."
What are the objectives of the car festival?,"The aim of the car festival is to give the interested public the opportunity to see new developments and car models, and also for the garages to be open for special times.","The following provides an instruction in the form of a question. Give a response that answers the question accurately. 

###Instruction: What are the goals of the car festival? 

###Response: The aim of the car festival is to give the interested public the opportunity to see new developments and car models, and also to have the garages open for special times."
What is the economic impact of the car festival?,"Due to the strong coverage in the Luxembourg press and in society in general, the garage owners make an important part of their turnover in the period of the car festival, around one third of the contracts of one year.","The following provides an instruction in the form of a question. Give a response that answers the question accurately. 

###Instruction: What is the economic impact of the car festival? 

###Response: Due to the strong coverage in the Luxembourg press and in society in general, the garage owners make an important part of their turnover during the period of the car festival, around one third of the contracts of one year."
Do people from abroad also come to Luxembourg for the car festival?,"Yes, the term is also known in the greater region, so that people from abroad also come to Luxembourg for the event.","The following provides an instruction in the form of a question. Give a response that answers the question accurately. 

###Instruction: Will people from abroad also come to Luxembourg for the car festival? 

###Response: Yes, the term is also known in the greater region, so that people from abroad also come to Luxembourg for the event."
What is the origin of Halloween?,"The origin of Halloween is in a Karschnatz and New Year's festival of the Celts, Samhain (""end of summer"").","The following provides an instruction in the form of a question. Give a response that answers the question accurately. 

###Instruction: What is the origin of Halloween? 

###Response: The origin of Halloween is in a Karschnatz and New Year festival of the Celts, Samhain (""end of summer"")."
How did the pagan Celts celebrate Halloween?,"The pagan Celts believed that contact between the spirit world and mortals was possible at the touch points of the seasons, and that witches and evil spirits would try to enter the body of an animal or a person. Therefore, the population put on frivolous costumes and made big fires to drive them away.","The following provides an instruction in the form of a question. Give a response that answers the question accurately. 

###Instruction: How did the pagan Celts celebrate Halloween? 

###Response: The pagan Celts believed that contact between the spirit world and mortals was possible at the touch points of the seasons, and witches and evil spirits would try to enter the body of an animal or a person. Therefore, the population put on frivolous costumes and made big fires to drive them away."
When did Halloween come to the United States?,"Due to the strong Irish emigration to the United States, Halloween also got its current name, as an abbreviation of ""All Hallow's Eve"".","The following provides an instruction in the form of a question. Give a response that answers the question accurately. 

###Instruction: When did Halloween come to the United States? 

###Response: Due to the strong Irish emigration to the USA, Halloween also got its current name, as an abbreviation of ""All Hallow's Eve""."
"What is the custom of ""Trick or Treat""?","The American children play ""Trick or Treat"" that evening: dressed as ghosts and witches, they go from house to house asking for money and sweets, otherwise they trick the people from the house. stick","The following provides an instruction in the form of a question. Give a response that answers the question accurately. 

###Instruction: What is the custom of ""Trick or Treat""? 

###Response: The American children play ""Trick or Treat"" that evening: dressed as ghosts and witches, they go from house to house asking for money and sweets, otherwise they turn them over to the people to get out of the house."
How did Halloween develop in Luxembourg?,"In the mid-1990s, large American corporations such as Mattel and Hasbro, to name just two, began to massively enter the European media and stores to promote their consumption feast in Europe in an otherwise rather poor business season in terms of sweets and decorations. popularize This is why you can now also see some children dressed up walking the streets in Luxembourg.","The following provides an instruction in the form of a question. Give a response that answers the question accurately. 

###Instruction: How did Halloween develop in Luxembourg? 

###Response: In the middle of the 1990s, large American corporations such as Mattel and Hasbro, to name just two, began to massively approach the European media and businesses to celebrate their consumption in Europe in an otherwise rather poor business season which To popularize sweets and decorations. This is why you can now also see some children dressed up walking the streets in Luxembourg."
"Give me the name of the second elevator in the city of Luxembourg that connects a district from the ""lower"" to the ""upper city"".",Lift Pafendall-Uerstadt,"The following provides an instruction in the form of a question. Give a response that answers the question accurately. 

###Instruction: Give me the name of the second elevator in the city of Luxembourg that connects a district from the ""lower"" to the ""upper city"". 

###Response: Lift Pafendall-Uewerstad"
When was the Pafendall-Uwerstad lift officially inaugurated?,"On July 22, 2016","The following provides an instruction in the form of a question. Give a response that answers the question accurately. 

###Instruction: When was the Lift Pafendall-Uwerstad officially inaugurated? 

###Response: July 22, 2016"
What were the costs for the construction of the lift Pafendall-Uwerstad?,"The costs were estimated at 7,257,100 euros at the beginning of 2008, but they later rose to 10.5 million euros.","The following provides an instruction in the form of a question. Give a response that answers the question accurately. 

###Instruction: What were the costs for the construction of the lift Pafendall-Uwerstad? 

###Response: The costs were estimated at 7,257,100 euros at the beginning of 2008, but they later rose to 10.5 million euros."
Give me the name of the architect office that designed the final project for the lift Pafendall-Uwerstad.,stonemason demeyer,"The following provides an instruction in the form of a question. Give a response that answers the question accurately. 

###Instruction: Give me the name of the architect office that designed the final project for the Lift Pafendall-Uwerstad. 

###Response: steinmetzdemeyer"
How many people used the lift Pafendall-Uwerstad in the first year?,"On average, 33,000 people every month, which is a total of over 450,000 rides up or down.","The following provides an instruction in the form of a question. Give a response that answers the question accurately. 

###Instruction: How many people used the lift Pafendall-Uwerstad in the first year? 

###Response: On average 33,000 people every month, which in total has driven up or down 450,000 times."
"Give me the name of the resistance fighter who was born on January 2, 1921 in Nassogne.",Emile Benoit,"The following provides an instruction in the form of a question. Give a response that answers the question accurately. 

###Instruction: Give me the name of the resistance fighter who was born on January 2, 1921 in Nassogne. 

###Response: Émile Benoit"
What was Émile Benoit during the war?,Émile Benoit was a Belgian student and resistance fighter. He was a law student at the University of Liège and secretary of the 'Union des étudiants luxembourgeois' and a member of the 'Ligue du Sacré-Coeur'.,"The following provides an instruction in the form of a question. Give a response that answers the question accurately. 

###Instruction: What was Émile Benoit during the war? 

###Response: Émile Benoit was a Belgian student and resistance fighter. He was a law student at the University of Liège and secretary of the 'Union des étudiants luxembourgeois' and a member of the 'Ligue du Sacré-Coeur'."
When did Émile Benoit die?,"Émile Benoit died on July 18, 1944 in Marche.","The following provides an instruction in the form of a question. Give a response that answers the question accurately. 

###Instruction: When did Émile Benoit die? 

###Response: Émile Benoit died on July 18, 1944 in Marche."
What was Émile Benoit's role in the resistance?,Émile Benoit was head of Zone III of the MNB and 'chief provincial' for the province of Luxembourg. He was also head of the support fund for refractory and recruited members for the MNB and helped evacuate Allied pilots from Belgium.,"The following provides an instruction in the form of a question. Give a response that answers the question accurately. 

###Instruction: What was Émile Benoit's role in the resistance? 

###Response: Émile Benoit was head of Zone III of the MNB and 'chief provincial' for the province of Luxembourg. He was also head of the support fund for refractory and recruited members for the MNB and helped evacuate Allied pilots from Belgium."
How was Émile Benoit honored?,Émile Benoit was honored by erecting a plaque on the wall at the 'Rempart des Jésuites' and the Nassogne football stadium was named 'Stade Émile Benoit' in 1976.,"The following provides an instruction in the form of a question. Give a response that answers the question accurately. 

###Instruction: How was Émile Benoit honored? 

###Response: Émile Benoit was honored by erecting a plaque on the wall at the 'Rempart des Jésuites' and the Nassogne football stadium was named 'Stade Émile Benoit' in 1976."
What is a Wolf-Rayet star?,A Wolf-Rayet star is the exposed core of a former massive star named after the French astronomer Charles Wolf and Georges Rayet.,"The following provides an instruction in the form of a question. Give a response that answers the question accurately. 

###Instruction: What is a Wolf-Rayet star? 

###Response: A Wolf-Rayet star is the exposed core of a former massive star named after the French astronomer Charles Wolf and Georges Rayet."
What are the properties of Wolf-Rayet stars?,"Wolf-Rayet stars have a mass between 10 and 256 solar masses, a surface temperature between 30,000 and 120,000 Kelvin and eject large amounts of matter into their surroundings.","The following provides an instruction in the form of a question. Give a response that answers the question accurately. 

###Instruction: What are the properties of Wolf-Rayet stars? 

###Response: Wolf-Rayet stars have a mass between 10 and 256 solar masses, a surface temperature between 30,000 and 120,000 Kelvin and throw large parts of matter into their surroundings."
What is the evolution of a Wolf-Rayet star?,"The development of a Wolf-Rayet star depends on the initial mass of the initial star. The star develops into a Wolf-Rayet star, where a large part of the atmosphere is lost.","The following provides an instruction in the form of a question. Give a response that answers the question accurately. 

###Instruction: What is the evolution of a Wolf-Rayet star? 

###Response: The development of a Wolf-Rayet star depends on the initial mass of the initial star. The star develops into a Wolf-Rayet star, where a large part of the atmosphere is lost."
Are there Wolf-Rayet stars in binary star systems?,"Yes, there are Wolf-Rayet stars and binary star systems. An example is V444 Cygni, a Wolf-Rayet star in a binary star system.","The following provides an instruction in the form of a question. Give a response that answers the question accurately. 

###Instruction: Are there Wolf-Rayet stars in binary star systems? 

###Response: Yes, there are Wolf-Rayet stars and binary star systems. An example is V444 Cygni, a Wolf-Rayet star in a binary star system."
What is the connection between Wolf-Rayet stars and supernovae?,Wolf-Rayet stars can develop into type Ibc supernovae. This happens when the star loses its helium atmosphere and the core collapses.,"The following provides an instruction in the form of a question. Give a response that answers the question accurately. 

###Instruction: What is the connection between Wolf-Rayet stars and supernovae? 

###Response: Wolf-Rayet stars can develop into type Ibc supernovae. This happens when the star loses its helium atmosphere and the core collapses."
Give me the names of the patrons of the Méchelskierch in Munneref.,Saint Michael.,"The following provides an instruction in the form of a question. Give a response that answers the question accurately. 

###Instruction: Give me the names of the patrons of the Méchelskierch in Munneref. 

###Response: Saint Michael."
When did Nicolas Ungeschick become the parish priest of Munneref?,"On June 5, 1764.","The following provides an instruction in the form of a question. Give a response that answers the question accurately. 

###Instruction: When did Nicolas Ungeschick become the parish priest of Munneref? 

###Response: June 5, 1764."
Give me the information about the bells in the tower of the Méchelskierch in Munneref.,"The Méchelskirche of Munneref has 4 bells in the tower, which were cast in 1894 by the company Bour & Guenser in Metz. The first bell has the Nout Mib, is dedicated to Saint Joseph and weighs 1100 Kg. The second bell has the letter Fa, is dedicated to St. Michael and weighs 750 kg. The third bell has the distress sol, is dedicated to St. Donatus and weighs 620 kg. The fourth bell has the distress Sol#, is dedicated to St. Anna and weighs 420 Kg.","The following provides an instruction in the form of a question. Give a response that answers the question accurately. 

###Instruction: Give me the information about the bells in the tower of the Méchelskierch in Munneref. 

###Response: The Méchelskirche of Munneref has 4 bells in the tower, which were cast in 1894 by the company Bour & Guenser in Metz. The first bell has the Nout Mib, is dedicated to Saint Joseph and weighs 1100 Kg. The second bell has the letter Fa, is dedicated to St. Michael and weighs 750 kg. The third bell has the Nout Sol, is dedicated to St. Donatus and weighs 620 kg. The fourth bell has the distress Sol#, is dedicated to St. Anna and weighs 420 Kg."
When was the church of Munneref built?,Construction began in 1764 and the construction work was completed in 1766.,"The following provides an instruction in the form of a question. Give a response that answers the question accurately. 

###Instruction: When was the church of Munneref built? 

###Response: Construction started in 1764 and construction work was completed in 1766."
Give me the information about the windows of the Méchelskierch in Munneref.,The windows were made in 1896 by the company Linster and Schmit from Munneref.,"The following provides an instruction in the form of a question. Give a response that answers the question accurately. 

###Instruction: Give me the information about the windows of the Méchelskirche in Munneref. 

###Response: The windows were made in 1896 by the company Linster and Schmit from Munneref."
"Give me the name of the Luxembourgish doom metal band, which was founded in August 2012 by Maxime Weber and Nicholas O'Connell.",plague wielder,"The following provides an instruction in the form of a question. Give a response that answers the question accurately. 

###Instruction: Give me the name of the Luxembourgish doom metal band, which was founded in August 2012 by Maxime Weber and Nicholas O'Connell. 

###Response: Plaguewielder"
When did Plaguewielder release their first EP?,In the summer of 2013,"The following provides an instruction in the form of a question. Give a response that answers the question accurately. 

###Instruction: When did Plaguewielder release their first EP? 

###Response: In the summer of 2013"
"What is the title of Plaguewielder's first album, which was released in 2015?",Chambers of Death,"The following provides an instruction in the form of a question. Give a response that answers the question accurately. 

###Instruction: What is the title of Plaguewielder's first album, which was released in 2015? 

###Response: Chambers of Death"
